DRUG	ENTREZ	NAME	DESC
procaine	6336	SCN10A	sodium channel, voltage-gated, type X, alpha
procaine	6531	SLC6A3	solute carrier family 6 (neurotransmitter transporter, dopamine), member 3
procaterol	154	ADRB2	adrenergic, beta-2-, receptor, surface
procaterol	3553	IL1B	interleukin 1, beta
procaterol	7124	TNF	tumor necrosis factor (TNF superfamily, member 2)
prochlorperazine	1812	DRD1	dopamine receptor D1
prochlorperazine	1813	DRD2	dopamine receptor D2
prochlorperazine	3269	HRH1	histamine receptor H1
prochlorperazine	3356	HTR2A	5-hydroxytryptamine (serotonin) receptor 2A
procyclidine	1128	CHRM1	cholinergic receptor, muscarinic 1
procyclidine	1129	CHRM2	cholinergic receptor, muscarinic 2
procyclidine	1132	CHRM4	cholinergic receptor, muscarinic 4
proflavine	2147	F2	coagulation factor II (thrombin)
progabide	2550	GABBR1	gamma-aminobutyric acid (GABA) B receptor, 1
progabide	2554	GABRA1	gamma-aminobutyric acid (GABA) A receptor, alpha 1
progesterone	1586	CYP17A1	cytochrome P450, family 17, subfamily A, polypeptide 1
progesterone	2099	ESR1	estrogen receptor 1
progesterone	5241	PGR	progesterone receptor
proguanil	573971	NoName	NoDesc
promazine	1128	CHRM1	cholinergic receptor, muscarinic 1
promazine	1129	CHRM2	cholinergic receptor, muscarinic 2
promazine	1131	CHRM3	cholinergic receptor, muscarinic 3
promazine	1132	CHRM4	cholinergic receptor, muscarinic 4
promazine	1133	CHRM5	cholinergic receptor, muscarinic 5
promazine	146	ADRA1D	adrenergic, alpha-1D-, receptor
promazine	147	ADRA1B	adrenergic, alpha-1B-, receptor
promazine	148	ADRA1A	adrenergic, alpha-1A-, receptor
promazine	1812	DRD1	dopamine receptor D1
promazine	1813	DRD2	dopamine receptor D2
promazine	1815	DRD4	dopamine receptor D4
promazine	3269	HRH1	histamine receptor H1
promazine	3356	HTR2A	5-hydroxytryptamine (serotonin) receptor 2A
promazine	3358	HTR2C	5-hydroxytryptamine (serotonin) receptor 2C
promethazine	1128	CHRM1	cholinergic receptor, muscarinic 1
promethazine	1129	CHRM2	cholinergic receptor, muscarinic 2
promethazine	1131	CHRM3	cholinergic receptor, muscarinic 3
promethazine	1132	CHRM4	cholinergic receptor, muscarinic 4
promethazine	1133	CHRM5	cholinergic receptor, muscarinic 5
promethazine	148	ADRA1A	adrenergic, alpha-1A-, receptor
promethazine	1813	DRD2	dopamine receptor D2
promethazine	3269	HRH1	histamine receptor H1
promethazine	3356	HTR2A	5-hydroxytryptamine (serotonin) receptor 2A
promethazine	808	CALM3	calmodulin 3 (phosphorylase kinase, delta)
propafenone	3757	KCNH2	potassium voltage-gated channel, subfamily H (eag-related), member 2
propafenone	5243	ABCB1	ATP-binding cassette, sub-family B (MDR/TAP), member 1
propafenone	6331	SCN5A	sodium channel, voltage-gated, type V, alpha (long QT syndrome 3)
propantheline	1128	CHRM1	cholinergic receptor, muscarinic 1
proparacaine	6336	SCN10A	sodium channel, voltage-gated, type X, alpha
propericiazine	146	ADRA1D	adrenergic, alpha-1D-, receptor
propericiazine	147	ADRA1B	adrenergic, alpha-1B-, receptor
propericiazine	148	ADRA1A	adrenergic, alpha-1A-, receptor
propiomazine	1128	CHRM1	cholinergic receptor, muscarinic 1
propiomazine	1129	CHRM2	cholinergic receptor, muscarinic 2
propiomazine	1131	CHRM3	cholinergic receptor, muscarinic 3
propiomazine	1132	CHRM4	cholinergic receptor, muscarinic 4
propiomazine	1133	CHRM5	cholinergic receptor, muscarinic 5
propiomazine	146	ADRA1D	adrenergic, alpha-1D-, receptor
propiomazine	147	ADRA1B	adrenergic, alpha-1B-, receptor
propiomazine	148	ADRA1A	adrenergic, alpha-1A-, receptor
propiomazine	1812	DRD1	dopamine receptor D1
propiomazine	1813	DRD2	dopamine receptor D2
propiomazine	1815	DRD4	dopamine receptor D4
propiomazine	3269	HRH1	histamine receptor H1
propiomazine	3356	HTR2A	5-hydroxytryptamine (serotonin) receptor 2A
propiomazine	3358	HTR2C	5-hydroxytryptamine (serotonin) receptor 2C
propofol	213	ALB	albumin
propofol	2554	GABRA1	gamma-aminobutyric acid (GABA) A receptor, alpha 1
propofol	79152	FA2H	fatty acid 2-hydroxylase
propoxyphene	4985	OPRD1	opioid receptor, delta 1
propoxyphene	4986	OPRK1	opioid receptor, kappa 1
propoxyphene	4988	OPRM1	opioid receptor, mu 1
propranolol	153	ADRB1	adrenergic, beta-1-, receptor
propranolol	154	ADRB2	adrenergic, beta-2-, receptor, surface
propranolol	155	ADRB3	adrenergic, beta-3-, receptor
propranolol	3350	HTR1A	5-hydroxytryptamine (serotonin) receptor 1A
propranolol	3351	HTR1B	5-hydroxytryptamine (serotonin) receptor 1B
propylthiouracil	7173	TPO	thyroid peroxidase
protriptyline	6530	SLC6A2	solute carrier family 6 (neurotransmitter transporter, noradrenalin), member 2
protriptyline	6532	SLC6A4	solute carrier family 6 (neurotransmitter transporter, serotonin), member 4
pseudoephedrine	148	ADRA1A	adrenergic, alpha-1A-, receptor
pseudoephedrine	150	ADRA2A	adrenergic, alpha-2A-, receptor
pseudoephedrine	154	ADRB2	adrenergic, beta-2-, receptor, surface
purvalanol	1017	CDK2	cyclin-dependent kinase 2
purvalanol	1019	CDK4	cyclin-dependent kinase 4
purvalanol	5594	MAPK1	mitogen-activated protein kinase 1
purvalanol	5595	MAPK3	mitogen-activated protein kinase 3
purvalanol a	6714	SRC	v-src sarcoma (Schmidt-Ruppin A-2) viral oncogene homolog (avian)
putrescine	262	AMD1	adenosylmethionine decarboxylase 1
pyrazinamide	2194	FASN	fatty acid synthase
pyridostigmine	43	ACHE	acetylcholinesterase (YT blood group)
pyridoxal	57026	PDXP	pyridoxal (pyridoxine, vitamin B6) phosphatase
pyridoxal	8566	PDXK	pyridoxal (pyridoxine, vitamin B6) kinase
pyridoxal phosphate	10558	SPTLC1	serine palmitoyltransferase, long chain base subunit 1
pyridoxal phosphate	10841	FTCD	formiminotransferase cyclodeaminase
pyridoxal phosphate	11212	PROSC	proline synthetase co-transcribed homolog (bacterial)
pyridoxal phosphate	113451		ornithine decarboxylase-like
pyridoxal phosphate	113675	SDSL	serine dehydratase-like
pyridoxal phosphate	1644	DDC	dopa decarboxylase (aromatic L-amino acid decarboxylase)
pyridoxal phosphate	18	ABAT	4-aminobutyrate aminotransferase
pyridoxal phosphate	189	AGXT	alanine-glyoxylate aminotransferase (oxalosis I; hyperoxaluria I; glycolicaciduria; serine-pyruvate aminotransferase)
pyridoxal phosphate	211	ALAS1	aminolevulinate, delta-, synthase 1
pyridoxal phosphate	23042		KIAA0251 protein
pyridoxal phosphate	23464	GCAT	glycine C-acetyltransferase (2-amino-3-ketobutyrate coenzyme A ligase)
pyridoxal phosphate	23584	VSIG2	V-set and immunoglobulin domain containing 2
pyridoxal phosphate	2571	GAD1	glutamate decarboxylase 1 (brain, 67kDa)
pyridoxal phosphate	2731	GLDC	glycine dehydrogenase (decarboxylating; glycine decarboxylase, glycine cleavage system protein P)
pyridoxal phosphate	2806	GOT2	glutamic-oxaloacetic transaminase 2, mitochondrial (aspartate aminotransferase 2)
pyridoxal phosphate	285313	IGSF10	immunoglobulin superfamily, member 10
pyridoxal phosphate	2875	GPT	glutamic-pyruvate transaminase (alanine aminotransferase)
pyridoxal phosphate	29968	PSAT1	phosphoserine aminotransferase 1
pyridoxal phosphate	29968	PSAT1	phosphoserine aminotransferase 1
pyridoxal phosphate	339896	GADL1	glutamate decarboxylase-like 1
pyridoxal phosphate	4942	OAT	ornithine aminotransferase (gyrate atrophy)
pyridoxal phosphate	4942	OAT	ornithine aminotransferase (gyrate atrophy)
pyridoxal phosphate	51026	GOLT1B	golgi transport 1 homolog B (S. cerevisiae)
pyridoxal phosphate	51091		soluble liver antigen/liver pancreas antigen
pyridoxal phosphate	51119	SBDS	Shwachman-Bodian-Diamond syndrome
pyridoxal phosphate	51166	AADAT	aminoadipate aminotransferase
pyridoxal phosphate	51380	CSAD	cysteine sulfinic acid decarboxylase
pyridoxal phosphate	51540	SCLY	selenocysteine lyase
pyridoxal phosphate	51540	SCLY	selenocysteine lyase
pyridoxal phosphate	51696	HECA	headcase homolog (Drosophila)
pyridoxal phosphate	55034	MOCOS	molybdenum cofactor sulfurase
pyridoxal phosphate	55163	PNPO	pyridoxine 5'-phosphate oxidase
pyridoxal phosphate	55304	C20orf38	chromosome 20 open reading frame 38
pyridoxal phosphate	56267		kynurenine aminotransferase III
pyridoxal phosphate	57026	PDXP	pyridoxal (pyridoxine, vitamin B6) phosphatase
pyridoxal phosphate	5834	PYGB	phosphorylase, glycogen; brain
pyridoxal phosphate	5836	PYGL	phosphorylase, glycogen; liver (Hers disease, glycogen storage disease type VI)
pyridoxal phosphate	5837	PYGM	phosphorylase, glycogen; muscle (McArdle syndrome, glycogen storage disease type V)
pyridoxal phosphate	586	BCAT1	branched chain aminotransferase 1, cytosolic
pyridoxal phosphate	587	BCAT2	branched chain aminotransferase 2, mitochondrial
pyridoxal phosphate	63826	SRR	serine racemase
pyridoxal phosphate	6470	SHMT1	serine hydroxymethyltransferase 1 (soluble)
pyridoxal phosphate	6472	SHMT2	serine hydroxymethyltransferase 2 (mitochondrial)
pyridoxal phosphate	64902	AGXT2	alanine-glyoxylate aminotransferase 2
pyridoxal phosphate	6898	TAT	tyrosine aminotransferase
pyridoxal phosphate	79896	THNSL1	threonine synthase-like 1 (bacterial)
pyridoxal phosphate	84706	GPT2	glutamic pyruvate transaminase (alanine aminotransferase) 2
pyridoxal phosphate	85007		hypothetical protein MGC15875
pyridoxal phosphate	875	CBS	cystathionine-beta-synthase
pyridoxal phosphate	883	CCBL1	cysteine conjugate-beta lyase; cytoplasmic (glutamine transaminase K, kyneurenine aminotransferase)
pyridoxal phosphate	8879	SGPL1	sphingosine-1-phosphate lyase 1
pyridoxal phosphate	8942	KYNU	kynureninase (L-kynurenine hydrolase)
pyridoxal phosphate	89874	SLC25A21	solute carrier family 25 (mitochondrial oxodicarboxylate carrier), member 21
pyridoxal phosphate	9054	NFS1	NFS1 nitrogen fixation 1 (S. cerevisiae)
pyridoxal phosphate	9517	SPTLC2	serine palmitoyltransferase, long chain base subunit 2
pyridoxamine-5'-phosphate	587	BCAT2	branched chain aminotransferase 2, mitochondrial
pyridoxamine-5'-phosphate	883	CCBL1	cysteine conjugate-beta lyase; cytoplasmic (glutamine transaminase K, kyneurenine aminotransferase)
pyridoxine	213	ALB	albumin
pyridoxine	29968	PSAT1	phosphoserine aminotransferase 1
pyridoxine	501	ALDH7A1	aldehyde dehydrogenase 7 family, member A1
pyridoxine	57026	PDXP	pyridoxal (pyridoxine, vitamin B6) phosphatase
pyridoxine	8566	PDXK	pyridoxal (pyridoxine, vitamin B6) kinase
pyridoxine	875	CBS	cystathionine-beta-synthase
pyrimethamine	573971	NoName	NoDesc
pyrimidine-4,6-dicarboxylic acid bis-(3-methyl-benzylamide)	4322	MMP13	matrix metalloproteinase 13 (collagenase 3)
pyrimidine-4,6-dicarboxylic acid bis-(4-fluoro-3-methyl-benzylamide)	4322	MMP13	matrix metalloproteinase 13 (collagenase 3)
pyrimidine-4,6-dicarboxylic acid bis-[(pyridin-3-ylmethyl)-amide]	4322	MMP13	matrix metalloproteinase 13 (collagenase 3)
pyroglutamic acid	278	AMY1C	amylase, alpha 1C; salivary
pyroglutamic acid	279	AMY2A	amylase, alpha 2A; pancreatic
pyroglutamic acid	283	ANG	angiogenin, ribonuclease, RNase A family, 5
pyroglutamic acid	3539	IGLC3	immunoglobulin lambda constant 3 (Kern-Oz+ marker)
pyroglutamic acid	6355	CCL8	chemokine (C-C motif) ligand 8
pyrophosphate 2-	283	ANG	angiogenin, ribonuclease, RNase A family, 5
pyruvic acid	18	ABAT	4-aminobutyrate aminotransferase
pyruvic acid	23539	SLC16A8	solute carrier 16 (monocarboxylic acid transporters), member 8
pyruvic acid	5091	PC	pyruvate carboxylase
pyruvic acid	5162	PDHB	pyruvate dehydrogenase (lipoamide) beta
pyruvic acid	5313	PKLR	pyruvate kinase, liver and RBC
pyruvic acid	5315	PKM2	pyruvate kinase, muscle
pyruvic acid	64902	AGXT2	alanine-glyoxylate aminotransferase 2
pyruvic acid	6566	SLC16A1	solute carrier family 16 (monocarboxylic acid transporters), member 1
pyruvic acid	6567	SLC16A2	solute carrier family 16 (monocarboxylic acid transporters), member 2
pyruvic acid	9120	SLC16A6	solute carrier family 16 (monocarboxylic acid transporters), member 6
pyruvic acid	9121	SLC16A5	solute carrier family 16 (monocarboxylic acid transporters), member 5
pyruvic acid	9122	SLC16A4	solute carrier family 16 (monocarboxylic acid transporters), member 4
pyruvic acid	9123	SLC16A3	solute carrier family 16 (monocarboxylic acid transporters), member 3
pyruvic acid	9194	SLC16A7	solute carrier family 16 (monocarboxylic acid transporters), member 7
quazepam	2554	GABRA1	gamma-aminobutyric acid (GABA) A receptor, alpha 1
quercetin	3055	HCK	hemopoietic cell kinase
quetiapine	147	ADRA1B	adrenergic, alpha-1B-, receptor
quetiapine	1812	DRD1	dopamine receptor D1
quetiapine	1813	DRD2	dopamine receptor D2
quetiapine	3269	HRH1	histamine receptor H1
quetiapine	3350	HTR1A	5-hydroxytryptamine (serotonin) receptor 1A
quetiapine	3356	HTR2A	5-hydroxytryptamine (serotonin) receptor 2A
quetiapine	3357	HTR2B	5-hydroxytryptamine (serotonin) receptor 2B
quetiapine	3358	HTR2C	5-hydroxytryptamine (serotonin) receptor 2C
quinacrine	1128	CHRM1	cholinergic receptor, muscarinic 1
quinacrine	240	ALOX5	arachidonate 5-lipoxygenase
quinacrine	5243	ABCB1	ATP-binding cassette, sub-family B (MDR/TAP), member 1
quinacrine	5321	PLA2G4A	phospholipase A2, group IVA (cytosolic, calcium-dependent)
quinacrine	5334	PLCL1	phospholipase C-like 1
quinacrine	8398	PLA2G6	phospholipase A2, group VI (cytosolic, calcium-independent)
quinapril	1636	ACE	angiotensin I converting enzyme (peptidyl-dipeptidase A) 1
quinapril	1636	ACE	angiotensin I converting enzyme (peptidyl-dipeptidase A) 1
quinestrol	2099	ESR1	estrogen receptor 1
quinethazone	3778	KCNMA1	potassium large conductance calcium-activated channel, subfamily M, alpha member 1
quinethazone	6559	SLC12A3	solute carrier family 12 (sodium/chloride transporters), member 3
quinethazone	759	CA1	carbonic anhydrase I
quinethazone	760	CA2	carbonic anhydrase II
quinethazone	762	CA4	carbonic anhydrase IV
quinidine	3757	KCNH2	potassium voltage-gated channel, subfamily H (eag-related), member 2
quinidine	3775	KCNK1	potassium channel, subfamily K, member 1
quinidine	5004	ORM1	orosomucoid 1
quinidine	5243	ABCB1	ATP-binding cassette, sub-family B (MDR/TAP), member 1
quinidine	6331	SCN5A	sodium channel, voltage-gated, type V, alpha (long QT syndrome 3)
quinidine	9424	KCNK6	potassium channel, subfamily K, member 6
quinine	2815	GP9	glycoprotein IX (platelet)
quinine	3040	HBA2	hemoglobin, alpha 2
quinine	3783	KCNN4	potassium intermediate/small conductance calcium-activated channel, subfamily N, member 4
quinonoid 7,8-tetrahydrobiopterin	5053	PAH	phenylalanine hydroxylase
r048-8071	4047	LSS	lanosterol synthase (2,3-oxidosqualene-lanosterol cyclase)
r-2-{[4'-methoxy-(1,1'-biphenyl)-4-yl]-sulfonyl}-amino-6-methoxy-hex-4-ynoic acid	4314	MMP3	matrix metalloproteinase 3 (stromelysin 1, progelatinase)
rabeprazole	495	ATP4A	ATPase, H+/K+ exchanging, alpha polypeptide
rabeprazole	496	ATP4B	ATPase, H+/K+ exchanging, beta polypeptide
raloxifene	2099	ESR1	estrogen receptor 1
raloxifene	2100	ESR2	estrogen receptor 2 (ER beta)
raltitrexed	7298	TYMS	thymidylate synthetase
ramelteon	4543	MTNR1A	melatonin receptor 1A
ramelteon	4544	MTNR1B	melatonin receptor 1B
ramipril	1636	ACE	angiotensin I converting enzyme (peptidyl-dipeptidase A) 1
ramipril	1636	ACE	angiotensin I converting enzyme (peptidyl-dipeptidase A) 1
ranibizumab	7422	VEGF	vascular endothelial growth factor
ranitidine	3274	HRH2	histamine receptor H2
ranolazine	5243	ABCB1	ATP-binding cassette, sub-family B (MDR/TAP), member 1
rapamycin immunosuppressant drug	2281	FKBP1B	FK506 binding protein 1B, 12.6 kDa
rapamycin immunosuppressant drug	2287	FKBP3	FK506 binding protein 3, 25kDa
rasagiline	4129	MAOB	monoamine oxidase B
rasagiline	596	BCL2	B-cell CLL/lymphoma 2
rbt205 inhibitor	9361	PRSS15	protease, serine, 15
reboxetine	6530	SLC6A2	solute carrier family 6 (neurotransmitter transporter, noradrenalin), member 2
remifentanil	4988	OPRM1	opioid receptor, mu 1
remikiren	5972	REN	renin
remoxipride	1813	DRD2	dopamine receptor D2
repaglinide	3758	KCNJ1	potassium inwardly-rectifying channel, subfamily J, member 1
repaglinide	3767	KCNJ11	potassium inwardly-rectifying channel, subfamily J, member 11
repaglinide	6833	ABCC8	ATP-binding cassette, sub-family C (CFTR/MRP), member 8
rescinnamine	1636	ACE	angiotensin I converting enzyme (peptidyl-dipeptidase A) 1
reserpine	6571	SLC18A2	solute carrier family 18 (vesicular monoamine), member 2
resveratrol	1459	CSNK2A2	casein kinase 2, alpha prime polypeptide
resveratrol	4835	NQO2	NAD(P)H dehydrogenase, quinone 2
resveratrol	5742	PTGS1	prostaglandin-endoperoxide synthase 1 (prostaglandin G/H synthase and cyclooxygenase)
resveratrol	5743	PTGS2	prostaglandin-endoperoxide synthase 2 (prostaglandin G/H synthase and cyclooxygenase)
resveratrol	7276	TTR	transthyretin (prealbumin, amyloidosis type I)
reteplase	2159	F10	coagulation factor X
reteplase	2243	FGA	fibrinogen, A alpha polypeptide
reteplase	2335	FN1	fibronectin 1
reteplase	284217	LAMA1	laminin, alpha 1
reteplase	3816	KLK1	kallikrein 1, renal/pancreas/salivary
reteplase	3856	KRT8	keratin 8
reteplase	3910	LAMA4	laminin, alpha 4
reteplase	3911	LAMA5	laminin, alpha 5
reteplase	3912	LAMB1	laminin, beta 1
reteplase	3915	LAMC1	laminin, gamma 1 (formerly LAMB2)
reteplase	5055	SERPINB2	serine (or cysteine) proteinase inhibitor, clade B (ovalbumin), member 2
reteplase	5329	PLAUR	plasminogen activator, urokinase receptor
reteplase	7123	CLEC3B	C-type lectin domain family 3, member B
reteplase	811	CALR	calreticulin
reteplase	821	CANX	calnexin
ribavirin	22978	NT5C2	5'-nucleotidase, cytosolic II
ribavirin	3614	IMPDH1	IMP (inosine monophosphate) dehydrogenase 1
ribavirin	5167	ENPP1	ectonucleotide pyrophosphatase/phosphodiesterase 1
ribavirin monophosphate	3615	IMPDH2	IMP (inosine monophosphate) dehydrogenase 2
riboflavin	55312	RFK	riboflavin kinase
riboflavin	5836	PYGL	phosphorylase, glycogen; liver (Hers disease, glycogen storage disease type VI)
riboflavin	645	BLVRB	biliverdin reductase B (flavin reductase (NADPH))
riboflavin monophosphate	1723	DHODH	dihydroorotate dehydrogenase
riboflavin monophosphate	5447	POR	P450 (cytochrome) oxidoreductase
riboflavin monophosphate	55163	PNPO	pyridoxine 5'-phosphate oxidase
riboflavin monophosphate	55312	RFK	riboflavin kinase
riboflavin monophosphate	60490		hypothetical protein MDS018
riboflavin monophosphate	645	BLVRB	biliverdin reductase B (flavin reductase (NADPH))
ribostamycin	5034	P4HB	procollagen-proline, 2-oxoglutarate 4-dioxygenase (proline 4-hydroxylase), beta polypeptide (protein disulfide isomerase; thyroid hormone binding protein p55)
ridogrel	6915	TBXA2R	thromboxane A2 receptor
ridogrel	6916	TBXAS1	thromboxane A synthase 1 (platelet, cytochrome P450, family 5, subfamily A)
rifabutin	3320	HSPCA	heat shock 90kDa protein 1, alpha
rifabutin	7184	TRA1	tumor rejection antigen (gp96) 1
rifampin	5243	ABCB1	ATP-binding cassette, sub-family B (MDR/TAP), member 1
rifampin	8856	NR1I2	nuclear receptor subfamily 1, group I, member 2
riluzole	116443	GRIN3A	glutamate receptor, ionotropic, N-methyl-D-aspartate 3A
riluzole	6331	SCN5A	sodium channel, voltage-gated, type V, alpha (long QT syndrome 3)
rimexolone	301	ANXA1	annexin A1
rimexolone	866	SERPINA6	serine (or cysteine) proteinase inhibitor, clade A (alpha-1 antiproteinase, antitrypsin), member 6
rimonabant	56144	PCDHA4	protocadherin alpha 4
risedronate	2224	FDPS	farnesyl diphosphate synthase (farnesyl pyrophosphate synthetase, dimethylallyltranstransferase, geranyltranstransferase)
risperidone	147	ADRA1B	adrenergic, alpha-1B-, receptor
risperidone	148	ADRA1A	adrenergic, alpha-1A-, receptor
risperidone	153	ADRB1	adrenergic, beta-1-, receptor
risperidone	1813	DRD2	dopamine receptor D2
risperidone	3269	HRH1	histamine receptor H1
risperidone	3356	HTR2A	5-hydroxytryptamine (serotonin) receptor 2A
ritodrine	154	ADRB2	adrenergic, beta-2-, receptor, surface
rituximab	2209	FCGR1A	Fc fragment of IgG, high affinity Ia, receptor (CD64)
rituximab	2212	FCGR2A	Fc fragment of IgG, low affinity IIa, receptor (CD32)
rituximab	2213	FCGR2B	Fc fragment of IgG, low affinity IIb, receptor (CD32)
rituximab	2214	FCGR3A	Fc fragment of IgG, low affinity IIIa, receptor (CD16a)
rituximab	2215	FCGR3B	Fc fragment of IgG, low affinity IIIb, receptor (CD16b)
rituximab	712	C1QA	complement component 1, q subcomponent, alpha polypeptide
rituximab	713	C1QB	complement component 1, q subcomponent, beta polypeptide
rituximab	714	C1QG	complement component 1, q subcomponent, gamma polypeptide
rituximab	715	C1R	complement component 1, r subcomponent
rituximab	716	C1S	complement component 1, s subcomponent
rituximab	931	MS4A1	membrane-spanning 4-domains, subfamily A, member 1
rivastigmine	43	ACHE	acetylcholinesterase (YT blood group)
rivastigmine	590	BCHE	butyrylcholinesterase
rizatriptan	3351	HTR1B	5-hydroxytryptamine (serotonin) receptor 1B
rizatriptan	3352	HTR1D	5-hydroxytryptamine (serotonin) receptor 1D
rizatriptan	3355	HTR1F	5-hydroxytryptamine (serotonin) receptor 1F
rizatriptan	3360	HTR4	5-hydroxytryptamine (serotonin) receptor 4
(r)-mesopram	5142	PDE4B	phosphodiesterase 4B, cAMP-specific (phosphodiesterase E4 dunce homolog, Drosophila)
(r)-n-(3-indol-1-yl-2-methyl-propyl)-4-sulfamoyl-benzamide	760	CA2	carbonic anhydrase II
rocuronium	1129	CHRM2	cholinergic receptor, muscarinic 2
rocuronium	1135	CHRNA2	cholinergic receptor, nicotinic, alpha polypeptide 2 (neuronal)
rofecoxib	2006	ELN	elastin (supravalvular aortic stenosis, Williams-Beuren syndrome)
rofecoxib	5742	PTGS1	prostaglandin-endoperoxide synthase 1 (prostaglandin G/H synthase and cyclooxygenase)
rofecoxib	5743	PTGS2	prostaglandin-endoperoxide synthase 2 (prostaglandin G/H synthase and cyclooxygenase)
rolicyclidine	116443	GRIN3A	glutamate receptor, ionotropic, N-methyl-D-aspartate 3A
ropinirole	1813	DRD2	dopamine receptor D2
ropinirole	1814	DRD3	dopamine receptor D3
ropinirole	1815	DRD4	dopamine receptor D4
ropivacaine	6336	SCN10A	sodium channel, voltage-gated, type X, alpha
rosiglitazone	5468	PPARG	peroxisome proliferative activated receptor, gamma
rosuvastatin	3156	HMGCR	3-hydroxy-3-methylglutaryl-Coenzyme A reductase
rosuvastatin	4846	NOS3	nitric oxide synthase 3 (endothelial cell)
rosuvastatin	9429	ABCG2	ATP-binding cassette, sub-family G (WHITE), member 2
roxithromycin	5243	ABCB1	ATP-binding cassette, sub-family B (MDR/TAP), member 1
(r)-rolipram	5142	PDE4B	phosphodiesterase 4B, cAMP-specific (phosphodiesterase E4 dunce homolog, Drosophila)
(r)-rolipram	5144	PDE4D	phosphodiesterase 4D, cAMP-specific (phosphodiesterase E3 dunce homolog, Drosophila)
ru84687	6714	SRC	v-src sarcoma (Schmidt-Ruppin A-2) viral oncogene homolog (avian)
rutin	8644	AKR1C3	aldo-keto reductase family 1, member C3 (3-alpha hydroxysteroid dehydrogenase, type II)
s-2-(boronoethyl)-l-cysteine	384	ARG2	arginase, type II
(s)-2-((s)-3-isobutyl-2,5-dioxo-4-quinolin-3-ylmethyl-[1,4]diazepan-1yl)-n-methyl-3-naphtalen-2-yl-propionamide	3683	ITGAL	integrin, alpha L (antigen CD11A (p180), lymphocyte function-associated antigen 1; alpha polypeptide)
s-4-nitrobutyryl-coa	2639	GCDH	glutaryl-Coenzyme A dehydrogenase
(s)-5-(4-benzyloxy-phenyl)-4-(7-phenyl-heptanoylamino)-pentanoic acid	5320	PLA2G2A	phospholipase A2, group IIA (platelets, synovial fluid)
s-adenosyl-l-homocysteine	1787	DNMT2	DNA (cytosine-5-)-methyltransferase 2
s-adenosyl-l-homocysteine	3176	HNMT	histamine N-methyltransferase
s-adenosyl-l-homocysteine	5110	PCMT1	protein-L-isoaspartate (D-aspartate) O-methyltransferase
s-adenosyl-l-homocysteine	5409	PNMT	phenylethanolamine N-methyltransferase
s-adenosyl-l-homocysteine	80854		SET domain-containing protein 7
s-adenosylmethionine	262	AMD1	adenosylmethionine decarboxylase 1
s-adenosylmethionine	27232	GNMT	glycine N-methyltransferase
s-adenosylmethionine	27430	MAT2B	methionine adenosyltransferase II, beta
s-adenosylmethionine	4143	MAT1A	methionine adenosyltransferase I, alpha
s-adenosylmethionine	4144	MAT2A	methionine adenosyltransferase II, alpha
s-adenosylmethionine	6725	SRMS	src-related kinase lacking C-terminal regulatory tyrosine and N-terminal myristylation sites
s-adenosylmethionine	875	CBS	cystathionine-beta-synthase
salbutamol	154	ADRB2	adrenergic, beta-2-, receptor, surface
salbutamol	3576	IL8	interleukin 8
salicyclic acid	213	ALB	albumin
salicyclic acid	5742	PTGS1	prostaglandin-endoperoxide synthase 1 (prostaglandin G/H synthase and cyclooxygenase)
salicyclic acid	5743	PTGS2	prostaglandin-endoperoxide synthase 2 (prostaglandin G/H synthase and cyclooxygenase)
salmeterol	154	ADRB2	adrenergic, beta-2-, receptor, surface
salmon calcitonin	799	CALCR	calcitonin receptor
salsalate	5742	PTGS1	prostaglandin-endoperoxide synthase 1 (prostaglandin G/H synthase and cyclooxygenase)
salsalate	5743	PTGS2	prostaglandin-endoperoxide synthase 2 (prostaglandin G/H synthase and cyclooxygenase)
saprisartan	185	AGTR1	angiotensin II receptor, type 1
saquinavir	1244	ABCC2	ATP-binding cassette, sub-family C (CFTR/MRP), member 2
saquinavir	213	ALB	albumin
saquinavir	4363	ABCC1	ATP-binding cassette, sub-family C (CFTR/MRP), member 1
saquinavir	5243	ABCB1	ATP-binding cassette, sub-family B (MDR/TAP), member 1
saquinavir	7124	TNF	tumor necrosis factor (TNF superfamily, member 2)
saquinavir	9429	ABCG2	ATP-binding cassette, sub-family G (WHITE), member 2
sargramostim	1438	CSF2RA	colony stimulating factor 2 receptor, alpha, low-affinity (granulocyte-macrophage)
sargramostim	1439	CSF2RB	colony stimulating factor 2 receptor, beta, low-affinity (granulocyte-macrophage)
sargramostim	3563	IL3RA	interleukin 3 receptor, alpha (low affinity)
sargramostim	6383	SDC2	syndecan 2 (heparan sulfate proteoglycan 1, cell surface-associated, fibroglycan)
sargramostim	7837		Melanoma associated gene
sb220025	1432	MAPK14	mitogen-activated protein kinase 14
s-benzyl-glutathione	2739	GLO1	glyoxalase I
s-benzyl-glutathione	2938	GSTA1	glutathione S-transferase A1
sc-74020	4313	MMP2	matrix metalloproteinase 2 (gelatinase A, 72kDa gelatinase, 72kDa type IV collagenase)
scopolamine	1128	CHRM1	cholinergic receptor, muscarinic 1
s-(d-carboxybutyl)-l-homocysteine	635	BHMT	betaine-homocysteine methyltransferase
s-(dimethylarsenic)cysteine	22820	COPG	coatomer protein complex, subunit gamma
s-(dimethylarsenic)cysteine	7097	TLR2	toll-like receptor 2
